Quesado,
Quina,
Quinaz,
Quinta,
Quintal,
Quintana,
Quintanilha,
Quintas,
Quintais,
Quintão,
Quinteiro,
Quintela,
Quinterno,
Quinzeiro,
Quirino,
Rabelo,
Ramalho,
Raminhos,
Ramires,
Ramos,
Rangel,
Raposo,
Rebelo,
Rebimbas,
Rebocho,
Rebotim,
Rebouças,
Redondo,
Regalado,
Rego,
Regodeiro (muito raro),
Regueira,
Rei,
Reino,
Reis,
Remígio,
Resende,
Ribas,
Ribeiro,
Rico,
Rijo,
Rios,
Robalinho,
Robalo,
Roçadas (muito raro),
Rocha,
Rodovalho,
Rodrigues,
Rolim,
Roriz,
Rosa,
Rosado,
Rosário,
Rosmaninho,
Rua,
Ruas,
Ruela,
Rufino,
Sá,
Sabala,
Sabrosa,
Sacadura,
Sacramento,
Salazar,
Saldanha,
Sales,
Salgado,
Salgueiro,
Salvado,
Saloio,
Salomão,
Saltão,
Sampaio,
Sanches,
Sandinha,
Santana,
Santarém,
Santiago,
Santos,
Saraiva,
Sardinha,
Sardo,
Sarmento,
Seabra,
Seixas,
Semedo,
Serpa,
Serralheiro,
Serro,
Sesimbra,
Setúbal,
Severiano,
Severo,
Silva,
Silveira dos Açores,
Silveira do continente Português,
Silveira,
Silvestre,
Simas,
Simões,
Simão,
Sintra,
Sítima,
Sequeira,
Soares,
Sobral,
Sobreira,
Sodré,
Soeiro,
Sousa de Arronches,
Sousa do Prado,
Sousa,
Souto,
Souto Maior,
Soveral,
Soverosa,
Tabanez,
Taborda,
Tabosa,
Talhão,
Tavares,
Taveira,
Taveiros,
Távora,
Teixeira,
Tedim,
Teles,
Telinhos,
Temes,
Teodoro,
Terra,
Teves,
Tigre,
Tinoco,
Toledo,
Tomé,
Torquato,
Torrado,
Torreiro,
Torres,
Toscano,
Travassos,
Toste,
Trigueiro,
Trindade,
Tristão,
Tuna,
Uchoa,
Ulhoa,
Úria,
Urias,
Valadão,
Valadares,
Valadim,
Valcácer,
Valcanaia,
Vale,
Valente,
Valentim,
Valério,
Valgueiro,
Valido,
Valim,
Valverde,
Varanda,
Varão,
Varejão,
Varela,
Vargas,
Vasconcelos,
Vasques,
Vaz,
Veiga,
Velasco,
Velasques,
Velázquez,
Veleda,
Veloso,
Veloza,
Vellozo,
Ventura,
Vergueiro,
Veríssimo,
Viana,
Vidal,
Vides,
Vidigal,
Viegas,
Vieira,
Vigário,
Vila-Chã,
Vilaça,
Vilalobos,
Vilanova,
Vilante,
Vilar,
Vilariça,
Vilarinho,
Vilas Boas,
Villas Bôas,
Vilaverde,
Vilela,
Vilhena,
Vinhas,
Vital,
Viveiros,
Xavier,
Ximenes,
Xisto,
Zagalo,
Zambujal,
Zarco,
