tconst	averageRating	numVotes
tt9178366	8.5	6
tt0337791	7.5	213
tt2555796	9.6	5
tt5752504	5.6	9
tt0124179	5.5	6644
tt4651680	8.4	16
tt0281025	7.0	22
tt1162737	7.6	5
tt0012096	5.5	17
tt4068732	7.6	14
tt0781110	7.2	17
tt2884350	8.2	13
tt0164247	8.2	63
tt0291702	6.8	13
tt0288114	7.6	342
tt6667522	7.0	8
tt4429758	7.4	8
tt0630300	8.1	56
tt0162396	6.7	72
tt6562942	7.0	7
tt0896940	7.3	6
tt1508676	5.7	43
tt0833973	6.4	7
tt0979971	8.3	6
tt0592749	7.4	34
tt0071553	5.9	124
tt4284186	7.9	75
tt0839916	8.1	19
tt0578733	7.4	38
tt7122154	8.7	130
tt0553212	8.2	5
tt0644841	7.3	29
tt4299804	7.2	8
tt0149556	5.1	267
tt4229994	8.1	24
tt1635978	7.4	7
tt6717292	7.9	58
tt1618383	7.3	6
tt0694458	7.6	33
tt3813804	8.7	7
tt0747897	7.6	14
tt0442683	6.8	278
tt10270878	10.0	6
tt0950325	7.6	5
tt1561932	6.8	17
tt3340884	7.3	50
tt0869019	6.5	896
tt2475810	8.2	16
tt7148422	8.1	153
tt1445685	6.9	17
tt0760266	7.5	6
tt0153927	5.9	35
tt6421768	9.3	6
tt5969530	8.7	6
tt0078516	7.4	720
tt7144618	7.5	326
tt5778208	6.8	5
tt0570777	6.5	6
tt0684444	7.3	10
tt3499632	5.4	75
tt5858506	7.3	105
tt0290067	2.7	61
tt2553096	6.5	22
tt0304095	8.1	19
tt0495657	6.5	6
tt0659145	6.5	6
tt7201072	7.9	11
tt1740057	4.5	20
tt5591278	8.4	265
tt2127330	8.2	15
tt0807627	3.5	6
tt0400839	8.7	7
tt0702684	8.4	95
tt0938424	8.8	17
tt2080716	7.6	5
tt0663216	7.6	205
tt3134028	8.5	531
tt0438231	7.9	69
tt0185793	7.3	736
tt7826518	8.9	29
tt1958007	3.7	390
tt1413159	8.9	1562
tt2784300	4.8	6
tt0122340	6.2	29
tt5794246	7.2	134
tt11268882	6.4	7
tt7438936	8.0	6
tt0290958	6.8	16
tt1447506	8.5	51
tt0362394	8.6	9
tt8667604	8.2	11
tt0463755	6.3	172
tt4259364	5.0	43
tt1151808	7.2	498
tt2177757	8.3	15
tt8932810	6.4	5
tt1122627	7.8	14
tt1110045	7.2	20
tt0440697	6.1	41
tt2453016	2.3	1765
tt1484826	6.0	5
tt4005912	8.8	6
tt0842388	8.0	6
tt0710319	8.1	81
tt3409500	7.8	28
tt4746516	6.1	704
tt0755478	9.0	25
tt6738046	6.3	114
tt0121038	7.2	11
tt0080901	6.5	166
tt1878078	5.8	25
tt0043668	7.1	736
tt1367475	5.8	5
tt0336540	6.2	12
tt0499248	4.8	12
tt0655473	7.7	275
tt0354768	6.8	5
tt0365772	6.9	13
tt0712779	5.6	11
tt1247739	9.8	11
tt1535847	4.2	8
tt10488528	7.6	5
tt2220993	6.5	11
tt2438850	9.2	196
tt0448983	5.1	58
tt1341705	4.7	52
tt11247948	8.2	19
tt0131310	7.9	22
tt1016043	7.2	36
tt1990701	9.8	36
tt0440154	1.0	7
tt2496648	8.4	7
tt0310608	9.0	151
tt0776550	5.7	15
tt0428814	7.3	9
tt1296240	6.8	5
tt0996345	6.6	15
tt0647433	8.8	5
tt5870092	6.9	14
tt0710949	7.3	15
tt1536300	8.1	7
tt0701487	7.0	6
tt0033366	6.3	129
tt3707514	5.2	163
tt5206846	6.8	15
tt9168904	7.3	30
tt0180909	7.0	31
tt0350142	7.2	54
tt0233802	7.4	19
tt3523836	8.0	63
tt1399677	5.6	607
tt0374631	8.0	130
tt0422451	4.3	9
tt1469259	4.7	145
tt2324544	4.4	41
tt0041901	6.6	77
tt0726651	6.2	5
tt0056424	6.5	1008
tt0225165	6.7	7
tt0436857	7.2	794
tt1298940	6.9	7
tt4322862	7.2	48
tt0198066	5.0	7
tt0603438	7.4	134
tt0876210	5.6	79
tt0174903	4.8	6
tt0124635	6.7	15
tt0095994	5.8	6
tt0557568	7.5	36
tt3117396	8.4	5
tt2213322	4.0	57
tt0088611	7.3	196
tt0388146	6.2	28
tt6132952	8.4	18
tt1181610	5.5	12
tt1600812	8.4	7
tt2763654	7.3	43
tt0281034	7.4	11
tt0701049	7.5	1284
tt0209445	6.7	307
tt1036068	7.6	719
tt6804874	6.6	30
tt1836141	7.3	7
tt10741956	5.3	6
tt6844006	6.9	15
tt0519915	5.4	41
tt0068442	6.2	131
tt6448318	5.7	20
tt7374658	7.2	47
tt3215844	5.9	72
tt0133257	7.0	45
tt3218424	8.5	26
tt1497522	7.1	16
tt3539022	7.2	6
tt0357720	6.8	25
tt5040712	6.6	24
tt2508312	7.3	23
tt4883766	7.8	17
tt0600927	7.4	18
tt4110594	6.4	5
tt4211646	8.2	8
tt1978020	6.9	14
tt1700220	6.0	23
tt1077147	5.6	8
tt0023703	5.9	57
tt0125445	6.8	72
tt4641672	6.2	17
tt2343549	6.4	821
tt1256160	7.9	155
tt2153574	7.5	6
tt2569458	7.0	5
tt0172713	6.7	37
tt0592698	8.1	33
tt1754811	2.8	4118
tt3246036	7.6	9
tt0763431	7.1	103
tt2465082	8.4	92
tt2442966	7.1	18
tt0031407	6.4	124
tt0271575	7.3	481
tt0152673	6.1	31
tt0331458	7.6	53
tt0818991	8.5	6
tt0178947	6.2	15
tt9265522	5.7	29
tt0051930	6.7	9
tt2901018	7.6	59
tt0603447	8.0	184
tt2154741	7.4	5
tt0001923	7.3	15
tt0226971	4.6	11
tt3898698	7.5	37
tt6771694	6.6	8
tt0502497	7.5	6
tt2959530	7.3	209
tt0457611	5.9	7
tt2165727	8.0	30
tt5318182	7.0	25
tt1496601	9.8	12
tt1214373	7.5	1123
tt0585720	9.0	10
tt0655452	8.7	305
tt0451203	3.2	5
tt1206327	7.6	5
tt0105873	7.8	6
tt0439965	6.7	28
tt4563774	5.6	843
tt0746010	7.4	40
tt0667917	6.7	101
tt6446746	6.7	10
tt0422952	8.2	76
tt1509624	5.3	122
tt2061621	4.3	15
tt0584451	7.2	1330
tt0716994	5.8	351
tt7335094	5.3	9
tt4705800	10.0	5
tt1243920	3.9	12
tt0205098	4.3	12
tt0850005	7.9	10
tt2381199	4.7	15
tt0776937	8.2	312
tt8798794	5.7	6
tt3387660	9.2	5
tt7695394	7.8	6
tt0632964	7.6	157
tt4760910	7.3	30
tt8957428	6.6	5
tt5632060	7.0	14
tt9469906	8.4	8
tt0768450	7.5	183
tt1888161	7.2	11
tt6084604	3.7	25
tt0281541	6.6	27
tt0613767	9.0	7
tt4980090	8.5	11
tt4935438	8.3	11
tt1895985	7.2	6
tt5021728	8.2	22
tt3702198	8.4	10
tt0120183	7.1	15
tt0955266	7.0	15
tt0805284	6.9	10
tt0046032	7.4	10
tt0129129	6.1	37
tt0112806	4.6	7
tt4814346	9.0	8
